Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,FluorescenceColor,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean
H615-217933,Subject to Prior Sale,ROUND,0.5,H,SI1,VG,EX,VG,,NON,4.98 - 4.97 X 3.21,GIA,5416846847,3100.0,22.25,2410.25,,,,64.5,57.0,MED,THK,4.5,Faceted,NON,,15.5,36.0,44.5,41.6,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217933/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217933,https://thnk18.azureedge.net/img/CertImages/5416846847.jpg,,,,Feather,NONE,NONE,NONE,90.0
H615-217935,Subject to Prior Sale,ROUND,0.45,D,SI1,EX,EX,EX,,NON,4.92 - 4.89 X 3.05,GIA,2417846480,2500.0,18.0,2050.0,,,,62.1,57.0,THN,MED,3.0,Faceted,NON,,16.0,36.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217935/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217935,https://thnk18.azureedge.net/img/CertImages/2417846480.jpg,,,,Crystal  Cloud,NONE,MINOR BLACK,NONE,80.0
H622-217937,Subject to Prior Sale,EMERALD,1.0,F,VVS1,,EX,VG,,FNT,7.16 - 4.51 X 2.86,GIA,6412868601,8500.0,33.0,5695.0,,,,63.4,69.0,THK,VTK,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H622-217937/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H622-217937,https://thnk18.azureedge.net/img/CertImages/6412868601.jpg,,,,PINPOINT  FEATHER,NONE,NONE,NONE,100.0
H612-217938,Subject to Prior Sale,ROUND,0.4,E,SI1,EX,EX,EX,,NON,4.76 - 4.72 X 2.89,GIA,7418846451,2400.0,25.0,1800.0,,,,60.9,61.0,MED,STK,3.5,FACETED,NON,,13.5,35.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/H612-217938/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H612-217938,https://thnk18.azureedge.net/img/CertImages/7418846451.jpg,,,,CRYSTAL  CLOUD  ETCH CHANNEL,NONE,PIN POINT BLACK,NONE,90.0
H615-217942,Subject to Prior Sale,ROUND,0.3,E,SI2,EX,EX,VG,,NON,4.28 - 4.25 X 2.68,GIA,7411843543,1800.0,33.0,1206.0,,,,62.8,58.0,MED,STK,4.0,Faceted,NON,,14.5,34.5,44.0,41.6,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217942/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217942,https://thnk18.azureedge.net/img/CertImages/7411843543.jpg,,,,Crystal  Cloud,NONE,HEAVY BLACK,NONE,80.0
J107-217943,Subject to Prior Sale,PRINCESS,1.02,H,VS1,,EX,VG,,FNT,5.52 - 5.27 X 3.81,GIA,6412831287,6000.0,33.5,3990.0,,,,72.4,69.0,VTK,,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J107-217943/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J107-217943,https://thnk18.azureedge.net/img/CertImages/6412831287.jpg,,,,CRYSTAL  CLOUD  NEEDLE,NONE,MINOR BLACK,NONE,100.0
H578-217944,Subject to Prior Sale,OVAL,0.7,D,SI2,,VG,VG,,NON,6.99 - 5.08 X 2.92,GIA,5413977347,3600.0,28.0,2592.0,,,,57.5,66.0,MED,ETK,0.0,Faceted,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H578-217944/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H578-217944,https://thnk18.azureedge.net/img/CertImages/5413977347.jpg,,,,Crystal  Feather,NONE,PIN POINT BLACK,NONE,80.0
H615-217945,Subject to Prior Sale,ROUND,0.4,E,SI2,EX,EX,EX,,NON,4.76 - 4.75 X 2.92,GIA,6411846541,2100.0,28.5,1501.5,,,,61.3,57.0,THN,MED,3.0,Faceted,NON,,15.5,35.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217945/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217945,https://thnk18.azureedge.net/img/CertImages/6411846541.jpg,,,,Crystal  Knot  Cavity,NONE,MEDIUM BLACK,NONE,80.0
H615-217947,Subject to Prior Sale,ROUND,0.57,J,VS2,EX,EX,EX,,NON,5.36 - 5.34 X 3.26,GIA,7422206528,2500.0,17.0,2075.0,,,,61.0,59.0,MED,STK,4.0,Faceted,NON,,13.5,33.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217947/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217947,https://thnk18.azureedge.net/img/CertImages/7422206528.jpg,,,,Twinning Wisp,NONE,NONE,NONE,90.0
J100-217950,Subject to Prior Sale,ROUND,1.7,L,VS2,EX,EX,EX,,NON,7.59 - 7.53 X 4.79,GIA,5416846172,5400.0,0.0,5400.0,,,,63.4,56.0,MED,STK,3.5,FACETED,NON,,16.5,36.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J100-217950/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J100-217950,https://thnk18.azureedge.net/img/CertImages/5416846172.jpg,,,,CLOUD  CRYSTAL  FEATHER  INDENTED NATURAL  NEEDLE  NATURAL,NONE,NONE,NONE,100.0
H615-217955,Subject to Prior Sale,ROUND,0.5,I,VVS1,EX,EX,EX,,NON,5.09 - 5.05 X 3.14,IGI,510178874,3500.0,29.5,2467.5,,,,61.9,59.0,Medium,Slightly Thick (Faceted),4.0,,,,14.5,35.3,43.0,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217955/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217955,https://thnk18.azureedge.net/img/CertImages/510178874.jpg,,,,,NONE,NONE,NONE,100.0
