stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
5NNZ5,227913,HK,G,round,0.40,F,VVS2,VG,EX,VG,N,4.82-4.84x2.80,GIA,2397928459,2900,-39.90%,$697.16,WH,M0,,,BT0,BC0,EC0,,Y,61.00,57.90,33.00,40.40,Feather  Cloud  Pinpoint,VS,2021-08-16,,Arrived,,,NO BGM  no black
3NNZ5,227911,HK,G,round,0.40,G,VVS2,VG,EX,VG,N,4.66-4.71x2.96,GIA,6224022251,2700,-37.40%,$676.08,WH,M0,,,BT0,BC0,EC0,,Y,55.00,63.20,36.50,40.80,Pinpoint  Needle  Cloud  Natural,VS,2021-09-15,,Arrived,,,NO BGM  no black
2NNZ5,227910,HK,G,round,0.40,G,VVS2,VG,EX,VG,N,4.64-4.69x2.94,GIA,1407436112,2700,-37.70%,$672.84,WH,M0,,,BT0,BC0,EC0,,Y,56.00,63.20,38.50,40.00,Pinpoint  Feather  Indented Natural  Extra Facet,VS,2021-09-18,,Arrived,,,NO BGM  no black
1NNZ5,227909,HK,G,round,0.40,F,VVS2,VG,EX,VG,N,4.60-4.66x2.96,GIA,6402439222,2900,-40.20%,$693.68,WH,M0,,,BT1,BC0,EC0,EX,Y,57.00,63.80,37.00,40.40,Needle  Pinpoint  Natural,N,2021-09-20,,Arrived,,,NO BGM
0NNZ5,227908,HK,G,round,0.30,H,VS1,EX,EX,EX,N,4.28-4.31x2.69,GIA,5403548633,2100,-29.10%,$446.67,WH,M0,,,BT1,BC1,EC0,,Y,56.00,62.60,36.00,41.00,Indented Natural  Cloud  Needle,N,2021-10-21,,Arrived,,,NO BGM
ZMNZ5,227907,HK,G,round,0.30,E,VS2,EX,EX,EX,N,4.35-4.36x2.62,GIA,2397525180,2300,-35.20%,$447.12,WH,M0,,,BT1,BC0,EC0,,Y,61.00,60.20,33.00,41.60,Crystal  Knot  Cloud  Feather,N,2021-08-19,,Arrived,,,NO BGM
YMNZ5,227906,HK,G,round,0.30,E,VS1,EX,EX,EX,N,4.33-4.35x2.62,GIA,3405445229,2400,-34.30%,$473.04,WH,M0,,,BT1,BC0,EC0,,Y,56.00,60.30,32.00,40.80,Crystal  Feather  Cloud  Needle,N,2021-09-18,,Arrived,,,NO BGM
XMNZ5,227905,HK,G,round,0.30,E,VS1,EX,EX,EX,N,4.36-4.38x2.58,GIA,6405922592,2400,-33.10%,$481.68,WH,M0,,,BT0,BC0,EC0,,Y,61.00,58.90,32.50,41.00,Crystal  Cloud  Needle  Pinpoint,N,2021-10-22,,Arrived,,,NO BGM  no black
WMNZ5,227904,HK,G,round,0.30,F,VS1,EX,EX,EX,N,4.30-4.31x2.67,GIA,7408422799,2300,-32.20%,$467.82,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.10,35.00,41.20,Crystal  Cloud  Needle  Pinpoint,N,2021-09-17,,Arrived,,,NO BGM
UMNZ5,227902,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.31-4.34x2.69,GIA,2406104305,2000,-25.70%,$445.80,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.30,35.50,41.20,Feather,N,2021-08-27,,Arrived,,,NO BGM  no black
