Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
8ZLZ5,round,0.30,I,VVS1,VG,VG,EX,N,GIA,7388241432,4.32-4.35x2.57,2200,-43.30%,$374.22,59.30%,61.00%,WH,M0,EC0,,,HK,NO BGM  no black,Arrived,
6ZLZ5,round,0.30,J,VVS1,VG,EX,VG,N,GIA,1407171846,4.25-4.30x2.62,1900,-40.70%,$338.01,61.30%,64.00%,WH,M0,EC0,,,HK,NO BGM  no black,Arrived,
5ZLZ5,round,0.30,J,VVS1,VG,EX,VG,N,GIA,6402139686,4.24-4.29x2.63,1900,-40.10%,$341.43,61.70%,65.00%,WH,M0,EC0,,,HK,NO BGM  no black,Arrived,
4ZLZ5,round,0.30,I,VVS2,VG,EX,VG,N,GIA,3395880389,4.33-4.36x2.58,2100,-43.10%,$358.47,59.40%,63.00%,WH,M0,EC0,,,HK,NO BGM  no black,Arrived,
3ZLZ5,round,1.00,H,VVS1,VG,EX,VG,N,GIA,7388373767,6.36-6.38x3.93,9300,-42.80%,$5319.60,61.70%,65.00%,WH,M0,EC0,,,HK,NO BGM  no black,Arrived,
NYLZ5,round,1.00,K,VVS2,EX,EX,EX,N,GIA,5212847983,6.37-6.41x3.92,4800,-33.60%,$3187.20,61.40%,61.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
8YLZ5,round,0.70,D,VS1,EX,EX,EX,N,GIA,2407088131,5.60-5.64x3.56,5900,-34.00%,$2725.80,63.20%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
7YLZ5,round,0.70,D,VS1,EX,EX,EX,N,GIA,6391548037,5.59-5.62x3.53,5900,-34.00%,$2725.80,63.00%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
1YLZ5,round,0.60,D,VVS1,EX,EX,EX,N,GIA,6372230619,5.35-5.39x3.34,5600,-31.80%,$2291.52,62.20%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
4WLZ5,round,0.30,J,VS2,EX,EX,EX,N,GIA,3375835574,4.33-4.35x2.62,1600,-31.00%,$331.20,60.50%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
XVLZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,1408538911,4.26-4.29x2.67,2100,-29.80%,$442.26,62.60%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
UVLZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,7402094927,4.29-4.32x2.65,2100,-29.80%,$442.26,61.60%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
IVLZ5,round,0.60,J,VVS1,VG,EX,VG,N,GIA,7381132485,5.29-5.34x3.35,2800,-29.20%,$1189.44,63.00%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
7VLZ5,round,1.00,G,VS2,EX,EX,EX,F,GIA,5403136901,6.34-6.38x3.99,9000,-35.90%,$5769.00,62.70%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
4VLZ5,round,1.00,G,VS2,EX,EX,EX,F,GIA,2407246870,6.36-6.40x3.93,9000,-36.60%,$5706.00,61.70%,59.00%,WH,M0,EC0,BT1,BC0,HK,NO BGM,Arrived,
