Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K33032,RBC,0.35,G,SI2,EX,EX,EX,No,,4.48 - 4.51 * 2.84,Gia,2407101330,,1600.00,1136.00,-29.00,397.60,,,,63.00,56.00,STK,STK,4.00,F,,NON,15.00,34.50,44.00,41.40,GIA 2407101330,Cloud  Feather,MILKEY1,N,YES,,,,
K33034,RBC,0.33,E,VVS2,EX,EX,EX,No,,4.42 - 4.44 * 2.78,Gia,1408132008,,2600.00,1768.00,-32.00,583.44,,,,62.70,57.00,MED,MED,3.50,F,,NON,15.50,35.00,44.00,41.40,GIA 1408132008,Needle  Pinpoint  Cloud,NO,N,YES,,,,
K33035,RBC,0.30,H,SI1,EX,EX,EX,MED,,4.26 - 4.28 * 2.66,Gia,5406101749,,1800.00,1296.00,-28.00,388.80,,,,62.30,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,41.00,GIA 5406101749,Twinning Wisp  Crystal,NO,N,YES,,,,
K33037,RBC,0.30,G,IF,EX,EX,VG,No,,4.26 - 4.28 * 2.67,Gia,2404132020,,2700.00,1674.00,-38.00,502.20,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 2404132020,Surface Graining  Minor Details of Polish,NO,N,YES,,,,
K33040,RBC,0.31,D,SI2,EX,EX,EX,FNT,,4.32 - 4.34 * 2.70,Gia,1408100590,,1900.00,1311.00,-31.00,406.41,,,,62.40,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,42.50,40.60,GIA 1408100590,Feather  Cloud,NO,N,YES,,,,
K33041,RBC,0.37,G,VVS1,EX,EX,EX,No,,4.65 - 4.67 * 2.85,Gia,2408131889,,2500.00,1825.00,-27.00,675.25,,,,61.10,57.00,MED to STK,MED to STK,3.50,F,,NON,14.00,33.00,43.50,41.00,GIA 2408131889,Cloud  Feather,NO,N,YES,,,,
K33042,RBC,0.30,D,SI1,EX,EX,VG,No,,4.26 - 4.31 * 2.60,Gia,6405104331,,2200.00,1496.00,-32.00,448.80,,,,60.80,59.00,MED to STK,MED to STK,4.00,F,,,14.50,35.00,42.50,40.60,GIA 6405104331,Crystal  Feather,NO,N,YES,,,,
K33044,RBC,0.35,G,VS1,EX,EX,EX,STG,,4.50 - 4.53 * 2.80,Gia,6402131900,,2200.00,1452.00,-34.00,508.20,,,,61.90,55.00,MED to STK,MED to STK,4.00,F,,NON,14.50,33.00,43.50,41.00,GIA 6402131900,Crystal  Pinpoint  Cloud,NO,N,YES,,,,
K33047,RBC,0.36,E,SI2,EX,EX,EX,No,,4.56 - 4.57 * 2.86,Gia,7408101795,,1800.00,1332.00,-26.00,479.52,,,,62.70,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 7408101795,Crystal  Feather,NO,N,YES,,,,
K33048,RBC,0.31,D,VS2,EX,EX,EX,No,,4.41 - 4.43 * 2.66,Gia,2404101804,,2400.00,1656.00,-31.00,513.36,,,,60.10,61.00,MED to STK,MED to STK,3.50,F,,NON,12.50,33.00,44.00,41.40,GIA 2404101804,Feather  Cloud,NO,N,YES,,,,
