stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10235502,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.04x5.08x3.17,GIA,2396960317,3200,-29.20%,$1132.80,WH,M0,,,,,EC0,,Y,57.00,62.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235501,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.06x5.09x3.11,GIA,7391922298,3200,-29.20%,$1132.80,WH,M0,,,,,EC0,,Y,61.00,61.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235499,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.07x5.09x3.14,GIA,7396806197,3200,-29.20%,$1132.80,WH,M0,,,,,EC0,,Y,58.00,61.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235498,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5x5.04x3.19,GIA,2396807214,3200,-29.20%,$1132.80,WH,M0,,,,,EC0,,Y,56.00,63.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235496,HK,G,round,0.50,G,VS2,VG,VG,VG,N,4.91x4.98x3.19,GIA,1403868801,3800,-41.00%,$1121.00,WH,M0,,,,,EC0,,Y,57.00,64.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235495,HK,G,round,0.50,G,VS2,VG,VG,VG,N,4.91x4.97x3.19,GIA,5406174240,3800,-41.00%,$1121.00,WH,M0,,,,,EC0,,Y,59.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235494,HK,G,round,0.50,G,VS2,VG,VG,VG,N,4.92x4.96x3.2,GIA,6391837095,3800,-41.00%,$1121.00,WH,M0,,,,,EC0,,Y,55.00,64.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235490,HK,G,round,0.50,G,VS2,EX,EX,EX,F,5.03x5.06x3.18,GIA,6401627855,3800,-34.80%,$1238.80,WH,M0,,,,,EC0,,Y,57.00,63.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235474,HK,G,round,0.50,G,VVS2,EX,EX,EX,N,5.02x5.06x3.19,GIA,6395962703,4100,-31.10%,$1412.45,WH,M0,,,,,EC0,,Y,57.00,63.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235454,HK,G,round,0.50,F,VS2,EX,EX,EX,N,5.05x5.08x3.16,GIA,7408423123,3900,-32.00%,$1326.00,WH,M0,,,,,EC0,,Y,60.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
